id,label,genero
0,E.DeLaCruz-Burelo,h
1,G.Lopez-Castro,h
2,M.Hernandez-Villanueva,h
3,I.Leon-Monzon,h
4,H.Compean,h
5,H.Castilla-Valdez,h
6,J.Mejia-Guisao,h
7,J.Engelfried,h
8,A.Sanchez,h
9,M.A.Perez-Angon,h
10,S.Arteaga,m
11,J.C.Arteaga,h
12,J.Arvizu,h
13,F.Astorga,h
14,F.Avitua,h
15,A.Ayala,h
16,E.Ayon,h
17,C.Baldenegro,h
18,J.Barradas,h
19,J.Barranco,h
20,L.Barron,m
21,A.Bashir,h
22,I.Bautista,m
23,M.Bedolla,h
24,H.Bello,h
25,E.Belmont,h
26,R.Bermudez,h
27,A.Bernal,m
28,J.Besprosvany,h
29,W.Bietenholz,h
30,A.Bolanos,m
